date,number_of_commits
6/28/2009,4
6/29/2009,10
6/30/2009,9
7/1/2009,1
7/2/2009,0
7/3/2009,0
7/4/2009,0
7/5/2009,0
7/6/2009,0
7/7/2009,0
7/8/2009,0
7/9/2009,0
7/10/2009,2
7/11/2009,1
7/12/2009,3
7/13/2009,5
7/14/2009,2
7/15/2009,6
7/16/2009,4
7/17/2009,0
7/18/2009,0
7/19/2009,0
7/20/2009,3
7/21/2009,4
7/22/2009,0
7/23/2009,0
7/24/2009,6
7/25/2009,5
7/26/2009,0
7/27/2009,2
7/28/2009,1
7/29/2009,0
7/30/2009,1
7/31/2009,2
8/1/2009,7
8/2/2009,0
8/3/2009,1
8/4/2009,4
8/5/2009,2
8/6/2009,7
8/7/2009,2
8/8/2009,2
8/9/2009,1
8/10/2009,8
8/11/2009,0
8/12/2009,0
8/13/2009,7
8/14/2009,2
8/15/2009,0
8/16/2009,0
8/17/2009,0
8/18/2009,0
8/19/2009,5
8/20/2009,0
8/21/2009,4
8/22/2009,3
8/23/2009,1
8/24/2009,4
8/25/2009,10
8/26/2009,3
8/27/2009,11
8/28/2009,0
8/29/2009,0
8/30/2009,0
8/31/2009,2
9/1/2009,8
9/2/2009,1
9/3/2009,7
9/4/2009,8
9/5/2009,3
9/6/2009,0
9/7/2009,6
9/8/2009,1
9/9/2009,3
9/10/2009,8
9/11/2009,2
9/12/2009,11
9/13/2009,3
9/14/2009,5
9/15/2009,3
9/16/2009,2
9/17/2009,5
9/18/2009,1
9/19/2009,1
9/20/2009,3
9/21/2009,5
9/22/2009,4
9/23/2009,12
9/24/2009,3
9/25/2009,4
9/26/2009,1
9/27/2009,5
9/28/2009,10
9/29/2009,6
9/30/2009,5
10/1/2009,1
10/2/2009,3
10/3/2009,3
10/4/2009,8
10/5/2009,4
10/6/2009,9
10/7/2009,13
10/8/2009,1
10/9/2009,15
10/10/2009,2
10/11/2009,0
10/12/2009,4
10/13/2009,3
10/14/2009,3
10/15/2009,4
10/16/2009,5
10/17/2009,1
10/18/2009,0
10/19/2009,0
10/20/2009,0
10/21/2009,0
10/22/2009,0
10/23/2009,0
10/24/2009,0
10/25/2009,0
10/26/2009,1
10/27/2009,5
10/28/2009,7
10/29/2009,8
10/30/2009,2
10/31/2009,1
11/1/2009,9
11/2/2009,2
11/3/2009,6
11/4/2009,5
11/5/2009,1
11/6/2009,3
11/7/2009,6
11/8/2009,4
11/9/2009,0
11/10/2009,0
11/11/2009,0
11/12/2009,5
11/13/2009,1
11/14/2009,1
11/15/2009,2
11/16/2009,1
11/17/2009,6
11/18/2009,5
11/19/2009,0
11/20/2009,2
11/21/2009,2
11/22/2009,5
11/23/2009,4
11/24/2009,1
11/25/2009,0
11/26/2009,0
11/27/2009,0
11/28/2009,7
11/29/2009,3
11/30/2009,2
12/1/2009,1
12/2/2009,1
12/3/2009,1
12/4/2009,0
12/5/2009,4
12/6/2009,5
12/7/2009,6
12/8/2009,5
12/9/2009,6
12/10/2009,0
12/11/2009,0
12/12/2009,3
12/13/2009,6
12/14/2009,1
12/15/2009,1
12/16/2009,6
12/17/2009,7
12/18/2009,8
12/19/2009,4
12/20/2009,0
12/21/2009,1
12/22/2009,2
12/23/2009,3
12/24/2009,1
12/25/2009,0
12/26/2009,0
12/27/2009,0
12/28/2009,3
12/29/2009,2
12/30/2009,10
12/31/2009,8
1/1/2010,1
1/2/2010,0
1/3/2010,1
1/4/2010,5
1/5/2010,6
1/6/2010,10
1/7/2010,6
1/8/2010,3
1/9/2010,6
1/10/2010,0
1/11/2010,4
1/12/2010,2
1/13/2010,2
1/14/2010,2
1/15/2010,0
1/16/2010,3
1/17/2010,1
1/18/2010,0
1/19/2010,4
1/20/2010,8
1/21/2010,11
1/22/2010,0
1/23/2010,2
1/24/2010,1
1/25/2010,5
1/26/2010,1
1/27/2010,6
1/28/2010,7
1/29/2010,5
1/30/2010,2
1/31/2010,3
2/1/2010,1
2/2/2010,2
2/3/2010,5
2/4/2010,6
2/5/2010,1
2/6/2010,7
2/7/2010,0
2/8/2010,7
2/9/2010,1
2/10/2010,8
2/11/2010,2
2/12/2010,6
2/13/2010,1
2/14/2010,1
2/15/2010,0
2/16/2010,4
2/17/2010,9
2/18/2010,19
2/19/2010,3
2/20/2010,11
2/21/2010,10
2/22/2010,12
2/23/2010,7
2/24/2010,4
2/25/2010,3
2/26/2010,7
2/27/2010,5
2/28/2010,2
3/1/2010,1
3/2/2010,6
3/3/2010,16
3/4/2010,7
3/5/2010,4
3/6/2010,14
3/7/2010,2
3/8/2010,2
3/9/2010,18
3/10/2010,12
3/11/2010,4
3/12/2010,16
3/13/2010,15
3/14/2010,5
3/15/2010,5
3/16/2010,14
3/17/2010,4
3/18/2010,7
3/19/2010,6
3/20/2010,22
3/21/2010,0
3/22/2010,2
3/23/2010,4
3/24/2010,11
3/25/2010,0
3/26/2010,5
3/27/2010,4
3/28/2010,2
3/29/2010,1
3/30/2010,2
3/31/2010,3
4/1/2010,3
4/2/2010,3
4/3/2010,8
4/4/2010,0
4/5/2010,6
4/6/2010,6
4/7/2010,6
4/8/2010,16
4/9/2010,11
4/10/2010,8
4/11/2010,1
4/12/2010,5
4/13/2010,9
4/14/2010,13
4/15/2010,11
4/16/2010,5
4/17/2010,1
4/18/2010,0
4/19/2010,6
4/20/2010,3
4/21/2010,7
4/22/2010,2
4/23/2010,7
4/24/2010,10
4/25/2010,1
4/26/2010,1
4/27/2010,9
4/28/2010,8
4/29/2010,10
4/30/2010,5
5/1/2010,6
5/2/2010,5
5/3/2010,7
5/4/2010,7
5/5/2010,12
5/6/2010,2
5/7/2010,5
5/8/2010,4
5/9/2010,3
5/10/2010,10
5/11/2010,5
5/12/2010,1
5/13/2010,7
5/14/2010,12
5/15/2010,5
5/16/2010,0
5/17/2010,2
5/18/2010,5
5/19/2010,3
5/20/2010,3
5/21/2010,10
5/22/2010,2
5/23/2010,1
5/24/2010,4
5/25/2010,3
5/26/2010,3
5/27/2010,9
5/28/2010,2
5/29/2010,3
5/30/2010,6
5/31/2010,0
6/1/2010,3
6/2/2010,2
6/3/2010,8
6/4/2010,4
6/5/2010,1
6/6/2010,0
6/7/2010,1
6/8/2010,8
6/9/2010,6
6/10/2010,4
6/11/2010,4
6/12/2010,5
6/13/2010,1
6/14/2010,0
6/15/2010,4
6/16/2010,16
6/17/2010,4
6/18/2010,6
6/19/2010,3
6/20/2010,5
6/21/2010,1
6/22/2010,8
6/23/2010,5
6/24/2010,7
6/25/2010,3
6/26/2010,1
6/27/2010,1
6/28/2010,3
6/29/2010,7
6/30/2010,8
7/1/2010,2
7/2/2010,5
7/3/2010,7
7/4/2010,1
7/5/2010,0
7/6/2010,1
7/7/2010,2
7/8/2010,3
7/9/2010,1
7/10/2010,0
7/11/2010,1
7/12/2010,8
7/13/2010,9
7/14/2010,14
7/15/2010,6
7/16/2010,14
7/17/2010,6
7/18/2010,3
7/19/2010,6
7/20/2010,7
7/21/2010,3
7/22/2010,5
7/23/2010,2
7/24/2010,5
7/25/2010,0
7/26/2010,3
7/27/2010,7
7/28/2010,5
7/29/2010,0
7/30/2010,2
7/31/2010,3
8/1/2010,3
8/2/2010,4
8/3/2010,0
8/4/2010,4
8/5/2010,13
8/6/2010,3
8/7/2010,3
8/8/2010,0
8/9/2010,7
8/10/2010,2
8/11/2010,4
8/12/2010,6
8/13/2010,10
8/14/2010,1
8/15/2010,3
8/16/2010,3
8/17/2010,10
8/18/2010,8
8/19/2010,4
8/20/2010,10
8/21/2010,5
8/22/2010,6
8/23/2010,5
8/24/2010,2
8/25/2010,3
8/26/2010,0
8/27/2010,2
8/28/2010,3
8/29/2010,0
8/30/2010,1
8/31/2010,5
9/1/2010,3
9/2/2010,0
9/3/2010,0
9/4/2010,2
9/5/2010,6
9/6/2010,5
9/7/2010,7
9/8/2010,16
9/9/2010,8
9/10/2010,8
9/11/2010,2
9/12/2010,1
9/13/2010,3
9/14/2010,3
9/15/2010,5
9/16/2010,8
9/17/2010,19
9/18/2010,0
9/19/2010,1
9/20/2010,10
9/21/2010,3
9/22/2010,2
9/23/2010,6
9/24/2010,3
9/25/2010,1
9/26/2010,0
9/27/2010,2
9/28/2010,5
9/29/2010,5
9/30/2010,1
10/1/2010,6
10/2/2010,4
10/3/2010,1
10/4/2010,1
10/5/2010,4
10/6/2010,1
10/7/2010,3
10/8/2010,3
10/9/2010,3
10/10/2010,8
10/11/2010,13
10/12/2010,16
10/13/2010,8
10/14/2010,4
10/15/2010,1
10/16/2010,1
10/17/2010,0
10/18/2010,2
10/19/2010,11
10/20/2010,3
10/21/2010,11
10/22/2010,6
10/23/2010,3
10/24/2010,11
10/25/2010,2
10/26/2010,16
10/27/2010,9
10/28/2010,5
10/29/2010,17
10/30/2010,2
10/31/2010,8
11/1/2010,1
11/2/2010,7
11/3/2010,3
11/4/2010,1
11/5/2010,1
11/6/2010,2
11/7/2010,1
11/8/2010,1
11/9/2010,0
11/10/2010,2
11/11/2010,2
11/12/2010,6
11/13/2010,9
11/14/2010,10
11/15/2010,8
11/16/2010,14
11/17/2010,7
11/18/2010,18
11/19/2010,15
11/20/2010,10
11/21/2010,6
11/22/2010,12
11/23/2010,8
11/24/2010,10
11/25/2010,55
11/26/2010,13
11/27/2010,4
11/28/2010,2
11/29/2010,9
11/30/2010,21
12/1/2010,17
12/2/2010,19
12/3/2010,15
12/4/2010,3
12/5/2010,9
12/6/2010,7
12/7/2010,0
12/8/2010,8
12/9/2010,16
12/10/2010,0
12/11/2010,16
12/12/2010,0
12/13/2010,1
12/14/2010,4
12/15/2010,0
12/16/2010,3
12/17/2010,10
12/18/2010,5
12/19/2010,6
12/20/2010,0
12/21/2010,9
12/22/2010,8
12/23/2010,11
12/24/2010,6
12/25/2010,1
12/26/2010,0
12/27/2010,1
12/28/2010,0
12/29/2010,0
12/30/2010,4
12/31/2010,17
1/1/2011,1
1/2/2011,14
1/3/2011,6
1/4/2011,4
1/5/2011,13
1/6/2011,6
1/7/2011,6
1/8/2011,1
1/9/2011,5
1/10/2011,0
1/11/2011,11
1/12/2011,12
1/13/2011,11
1/14/2011,11
1/15/2011,2
1/16/2011,3
1/17/2011,3
1/18/2011,20
1/19/2011,13
1/20/2011,8
1/21/2011,15
1/22/2011,11
1/23/2011,1
1/24/2011,5
1/25/2011,12
1/26/2011,8
1/27/2011,1
1/28/2011,22
1/29/2011,3
1/30/2011,0
1/31/2011,1
2/1/2011,9
2/2/2011,3
2/3/2011,6
2/4/2011,5
2/5/2011,12
2/6/2011,2
2/7/2011,1
2/8/2011,7
2/9/2011,7
2/10/2011,19
2/11/2011,2
2/12/2011,5
2/13/2011,0
2/14/2011,0
2/15/2011,9
2/16/2011,10
2/17/2011,14
2/18/2011,6
2/19/2011,9
2/20/2011,11
2/21/2011,5
2/22/2011,2
2/23/2011,2
2/24/2011,6
2/25/2011,8
2/26/2011,2
2/27/2011,0
2/28/2011,1
3/1/2011,5
3/2/2011,1
3/3/2011,6
3/4/2011,2
3/5/2011,2
3/6/2011,2
3/7/2011,0
3/8/2011,2
3/9/2011,1
3/10/2011,3
3/11/2011,7
3/12/2011,3
3/13/2011,0
3/14/2011,1
3/15/2011,10
3/16/2011,8
3/17/2011,3
3/18/2011,5
3/19/2011,14
3/20/2011,2
3/21/2011,1
3/22/2011,2
3/23/2011,7
3/24/2011,3
3/25/2011,0
3/26/2011,5
3/27/2011,5
3/28/2011,0
3/29/2011,7
3/30/2011,9
3/31/2011,5
4/1/2011,6
4/2/2011,13
4/3/2011,1
4/4/2011,1
4/5/2011,1
4/6/2011,2
4/7/2011,1
4/8/2011,0
4/9/2011,0
4/10/2011,1
4/11/2011,0
4/12/2011,5
4/13/2011,2
4/14/2011,12
4/15/2011,7
4/16/2011,0
4/17/2011,1
4/18/2011,0
4/19/2011,2
4/20/2011,0
4/21/2011,3
4/22/2011,2
4/23/2011,7
4/24/2011,0
4/25/2011,0
4/26/2011,3
4/27/2011,3
4/28/2011,3
4/29/2011,0
4/30/2011,0
5/1/2011,3
5/2/2011,3
5/3/2011,2
5/4/2011,2
5/5/2011,1
5/6/2011,2
5/7/2011,3
5/8/2011,3
5/9/2011,0
5/10/2011,1
5/11/2011,4
5/12/2011,6
5/13/2011,4
5/14/2011,3
5/15/2011,1
5/16/2011,2
5/17/2011,2
5/18/2011,3
5/19/2011,2
5/20/2011,14
5/21/2011,8
5/22/2011,0
5/23/2011,4
5/24/2011,5
5/25/2011,2
5/26/2011,1
5/27/2011,0
5/28/2011,0
5/29/2011,3
5/30/2011,0
5/31/2011,0
6/1/2011,0
6/2/2011,0
6/3/2011,8
6/4/2011,1
6/5/2011,2
6/6/2011,0
6/7/2011,0
6/8/2011,7
6/9/2011,3
6/10/2011,0
6/11/2011,3
6/12/2011,0
6/13/2011,3
6/14/2011,4
6/15/2011,3
6/16/2011,7
6/17/2011,6
6/18/2011,4
6/19/2011,3
6/20/2011,4
6/21/2011,2
6/22/2011,1
6/23/2011,1
6/24/2011,1
6/25/2011,4
6/26/2011,2
6/27/2011,0
6/28/2011,4
6/29/2011,14
6/30/2011,10
7/1/2011,2
7/2/2011,10
7/3/2011,5
7/4/2011,6
7/5/2011,15
7/6/2011,21
7/7/2011,8
7/8/2011,9
7/9/2011,8
7/10/2011,2
7/11/2011,4
7/12/2011,2
7/13/2011,5
7/14/2011,5
7/15/2011,17
7/16/2011,18
7/17/2011,0
7/18/2011,7
7/19/2011,8
7/20/2011,8
7/21/2011,15
7/22/2011,21
7/23/2011,4
7/24/2011,2
7/25/2011,4
7/26/2011,7
7/27/2011,10
7/28/2011,10
7/29/2011,4
7/30/2011,8
7/31/2011,1
8/1/2011,9
8/2/2011,28
8/3/2011,8
8/4/2011,8
8/5/2011,18
8/6/2011,15
8/7/2011,6
8/8/2011,13
8/9/2011,19
8/10/2011,14
8/11/2011,22
8/12/2011,17
8/13/2011,5
8/14/2011,10
8/15/2011,3
8/16/2011,8
8/17/2011,5
8/18/2011,9
8/19/2011,1
8/20/2011,6
8/21/2011,2
8/22/2011,2
8/23/2011,8
8/24/2011,20
8/25/2011,8
8/26/2011,7
8/27/2011,10
8/28/2011,1
8/29/2011,3
8/30/2011,13
8/31/2011,12
9/1/2011,8
9/2/2011,9
9/3/2011,5
9/4/2011,4
9/5/2011,15
9/6/2011,8
9/7/2011,12
9/8/2011,18
9/9/2011,16
9/10/2011,13
9/11/2011,8
9/12/2011,1
9/13/2011,12
9/14/2011,15
9/15/2011,7
9/16/2011,18
9/17/2011,9
9/18/2011,2
9/19/2011,4
9/20/2011,10
9/21/2011,13
9/22/2011,2
9/23/2011,14
9/24/2011,12
9/25/2011,5
9/26/2011,1
9/27/2011,11
9/28/2011,9
9/29/2011,4
9/30/2011,4
10/1/2011,11
10/2/2011,0
10/3/2011,4
10/4/2011,0
10/5/2011,3
10/6/2011,2
10/7/2011,18
10/8/2011,7
10/9/2011,0
10/10/2011,2
10/11/2011,20
10/12/2011,34
10/13/2011,18
10/14/2011,10
10/15/2011,13
10/16/2011,4
10/17/2011,1
10/18/2011,2
10/19/2011,4
10/20/2011,11
10/21/2011,6
10/22/2011,19
10/23/2011,2
10/24/2011,0
10/25/2011,7
10/26/2011,10
10/27/2011,15
10/28/2011,9
10/29/2011,9
10/30/2011,3
10/31/2011,3
11/1/2011,10
11/2/2011,7
11/3/2011,18
11/4/2011,13
11/5/2011,22
11/6/2011,1
11/7/2011,1
11/8/2011,11
11/9/2011,12
11/10/2011,5
11/11/2011,11
11/12/2011,11
11/13/2011,2
11/14/2011,1
11/15/2011,6
11/16/2011,5
11/17/2011,13
11/18/2011,11
11/19/2011,5
11/20/2011,0
11/21/2011,3
11/22/2011,5
11/23/2011,19
11/24/2011,6
11/25/2011,18
11/26/2011,3
11/27/2011,3
11/28/2011,2
11/29/2011,9
11/30/2011,10
12/1/2011,4
12/2/2011,21
12/3/2011,4
12/4/2011,8
12/5/2011,2
12/6/2011,6
12/7/2011,10
12/8/2011,6
12/9/2011,10
12/10/2011,13
12/11/2011,2
12/12/2011,3
12/13/2011,8
12/14/2011,18
12/15/2011,9
12/16/2011,15
12/17/2011,14
12/18/2011,5
12/19/2011,17
12/20/2011,12
12/21/2011,7
12/22/2011,15
12/23/2011,6
12/24/2011,7
12/25/2011,1
12/26/2011,3
12/27/2011,5
12/28/2011,6
12/29/2011,17
12/30/2011,5
12/31/2011,2
1/1/2012,0
1/2/2012,5
1/3/2012,2
1/4/2012,4
1/5/2012,10
1/6/2012,3
1/7/2012,14
1/8/2012,1
1/9/2012,7
1/10/2012,8
1/11/2012,9
1/12/2012,11
1/13/2012,1
1/14/2012,1
1/15/2012,3
1/16/2012,7
1/17/2012,20
1/18/2012,11
1/19/2012,3
1/20/2012,12
1/21/2012,3
1/22/2012,5
1/23/2012,10
1/24/2012,19
1/25/2012,2
1/26/2012,3
1/27/2012,5
1/28/2012,10
1/29/2012,2
1/30/2012,6
1/31/2012,7
2/1/2012,7
2/2/2012,11
2/3/2012,13
2/4/2012,2
2/5/2012,1
2/6/2012,2
2/7/2012,9
2/8/2012,11
2/9/2012,6
2/10/2012,3
2/11/2012,7
2/12/2012,4
2/13/2012,4
2/14/2012,10
2/15/2012,7
2/16/2012,10
2/17/2012,10
2/18/2012,17
2/19/2012,8
2/20/2012,6
2/21/2012,9
2/22/2012,8
2/23/2012,16
2/24/2012,10
2/25/2012,6
2/26/2012,3
2/27/2012,8
2/28/2012,100
2/29/2012,6
3/1/2012,1
3/2/2012,7
3/3/2012,12
3/4/2012,13
3/5/2012,5
3/6/2012,12
3/7/2012,11
3/8/2012,4
3/9/2012,7
3/10/2012,4
3/11/2012,2
3/12/2012,5
3/13/2012,12
3/14/2012,17
3/15/2012,7
3/16/2012,18
3/17/2012,3
3/18/2012,8
3/19/2012,0
3/20/2012,8
3/21/2012,11
3/22/2012,3
3/23/2012,11
3/24/2012,5
3/25/2012,3
3/26/2012,7
3/27/2012,3
3/28/2012,16
3/29/2012,12
3/30/2012,14
3/31/2012,8
4/1/2012,6
4/2/2012,1
4/3/2012,10
4/4/2012,0
4/5/2012,4
4/6/2012,6
4/7/2012,11
4/8/2012,6
4/9/2012,5
4/10/2012,6
4/11/2012,14
4/12/2012,14
4/13/2012,5
4/14/2012,5
4/15/2012,3
4/16/2012,3
4/17/2012,6
4/18/2012,20
4/19/2012,10
4/20/2012,6
4/21/2012,4
4/22/2012,4
4/23/2012,2
4/24/2012,10
4/25/2012,4
4/26/2012,2
4/27/2012,8
4/28/2012,10
4/29/2012,6
4/30/2012,4
5/1/2012,12
5/2/2012,10
5/3/2012,8
5/4/2012,8
5/5/2012,22
5/6/2012,5
5/7/2012,3
5/8/2012,9
5/9/2012,8
5/10/2012,6
5/11/2012,7
5/12/2012,2
5/13/2012,3
5/14/2012,4
5/15/2012,6
5/16/2012,19
5/17/2012,8
5/18/2012,1
5/19/2012,0
5/20/2012,5
5/21/2012,5
5/22/2012,7
5/23/2012,4
5/24/2012,1
5/25/2012,4
5/26/2012,6
5/27/2012,3
5/28/2012,3
5/29/2012,3
5/30/2012,7
5/31/2012,3
6/1/2012,4
6/2/2012,6
6/3/2012,3
6/4/2012,2
6/5/2012,12
6/6/2012,6
6/7/2012,8
6/8/2012,3
6/9/2012,9
6/10/2012,1
6/11/2012,7
6/12/2012,17
6/13/2012,23
6/14/2012,16
6/15/2012,13
6/16/2012,12
6/17/2012,8
6/18/2012,13
6/19/2012,15
6/20/2012,13
6/21/2012,13
6/22/2012,22
6/23/2012,6
6/24/2012,4
6/25/2012,5
6/26/2012,11
6/27/2012,8
6/28/2012,6
6/29/2012,14
6/30/2012,6
7/1/2012,1
7/2/2012,3
7/3/2012,4
7/4/2012,6
7/5/2012,9
7/6/2012,4
7/7/2012,4
7/8/2012,13
7/9/2012,5
7/10/2012,7
7/11/2012,6
7/12/2012,12
7/13/2012,6
7/14/2012,12
7/15/2012,0
7/16/2012,0
7/17/2012,9
7/18/2012,10
7/19/2012,2
7/20/2012,9
7/21/2012,15
7/22/2012,1
7/23/2012,2
7/24/2012,3
7/25/2012,8
7/26/2012,7
7/27/2012,3
7/28/2012,3
7/29/2012,2
7/30/2012,1
7/31/2012,7
8/1/2012,13
8/2/2012,12
8/3/2012,6
8/4/2012,6
8/5/2012,11
8/6/2012,9
8/7/2012,18
8/8/2012,4
8/9/2012,5
8/10/2012,2
8/11/2012,0
8/12/2012,3
8/13/2012,6
8/14/2012,0
8/15/2012,8
8/16/2012,9
8/17/2012,10
8/18/2012,2
8/19/2012,0
8/20/2012,4
8/21/2012,14
8/22/2012,8
8/23/2012,15
8/24/2012,3
8/25/2012,4
8/26/2012,2
8/27/2012,0
8/28/2012,10
8/29/2012,8
8/30/2012,12
8/31/2012,1
9/1/2012,2
9/2/2012,4
9/3/2012,2
9/4/2012,10
9/5/2012,1
9/6/2012,3
9/7/2012,0
9/8/2012,3
9/9/2012,4
9/10/2012,4
9/11/2012,10
9/12/2012,16
9/13/2012,14
9/14/2012,5
9/15/2012,4
9/16/2012,0
9/17/2012,3
9/18/2012,10
9/19/2012,11
9/20/2012,0
9/21/2012,2
9/22/2012,6
9/23/2012,1
9/24/2012,2
9/25/2012,6
9/26/2012,9
9/27/2012,0
9/28/2012,6
9/29/2012,3
9/30/2012,0
10/1/2012,3
10/2/2012,6
10/3/2012,7
10/4/2012,4
10/5/2012,8
10/6/2012,2
10/7/2012,3
10/8/2012,8
10/9/2012,10
10/10/2012,10
10/11/2012,6
10/12/2012,7
10/13/2012,14
10/14/2012,2
10/15/2012,0
10/16/2012,3
10/17/2012,1
10/18/2012,3
10/19/2012,0
10/20/2012,1
10/21/2012,0
10/22/2012,4
10/23/2012,10
10/24/2012,18
10/25/2012,11
10/26/2012,14
10/27/2012,0
10/28/2012,0
10/29/2012,2
10/30/2012,9
10/31/2012,6
11/1/2012,5
11/2/2012,1
11/3/2012,0
11/4/2012,2
11/5/2012,0
11/6/2012,0
11/7/2012,2
11/8/2012,1
11/9/2012,4
11/10/2012,2
11/11/2012,1
11/12/2012,1
11/13/2012,8
11/14/2012,0
11/15/2012,0
11/16/2012,0
11/17/2012,4
11/18/2012,1
11/19/2012,0
11/20/2012,2
11/21/2012,9
11/22/2012,1
11/23/2012,1
11/24/2012,6
11/25/2012,0
11/26/2012,1
11/27/2012,6
11/28/2012,4
11/29/2012,3
11/30/2012,2
12/1/2012,2
12/2/2012,4
12/3/2012,2
12/4/2012,7
12/5/2012,4
12/6/2012,6
12/7/2012,2
12/8/2012,4
12/9/2012,0
12/10/2012,5
12/11/2012,7
12/12/2012,1
12/13/2012,9
12/14/2012,9
12/15/2012,4
12/16/2012,1
12/17/2012,8
12/18/2012,9
12/19/2012,11
12/20/2012,11
12/21/2012,8
12/22/2012,13
12/23/2012,3
12/24/2012,4
12/25/2012,1
12/26/2012,1
12/27/2012,10
12/28/2012,12
12/29/2012,2
12/30/2012,6
12/31/2012,1
1/1/2013,6
1/2/2013,0
1/3/2013,5
1/4/2013,8
1/5/2013,5
1/6/2013,3
1/7/2013,15
1/8/2013,14
1/9/2013,5
1/10/2013,12
1/11/2013,10
1/12/2013,11
1/13/2013,3
1/14/2013,2
1/15/2013,9
1/16/2013,4
1/17/2013,9
1/18/2013,10
1/19/2013,14
1/20/2013,6
1/21/2013,1
1/22/2013,5
1/23/2013,9
1/24/2013,5
1/25/2013,11
1/26/2013,2
1/27/2013,3
1/28/2013,6
1/29/2013,6
1/30/2013,7
1/31/2013,1
2/1/2013,4
2/2/2013,6
2/3/2013,2
2/4/2013,1
2/5/2013,2
2/6/2013,6
2/7/2013,9
2/8/2013,10
2/9/2013,7
2/10/2013,1
2/11/2013,5
2/12/2013,40
2/13/2013,9
2/14/2013,9
2/15/2013,4
2/16/2013,8
2/17/2013,0
2/18/2013,0
2/19/2013,7
2/20/2013,12
2/21/2013,10
2/22/2013,8
2/23/2013,5
2/24/2013,4
2/25/2013,1
2/26/2013,21
2/27/2013,13
2/28/2013,11
3/1/2013,11
3/2/2013,16
3/3/2013,14
3/4/2013,10
3/5/2013,9
3/6/2013,21
3/7/2013,23
3/8/2013,19
3/9/2013,13
3/10/2013,8
3/11/2013,3
3/12/2013,6
3/13/2013,5
3/14/2013,17
3/15/2013,8
3/16/2013,4
3/17/2013,4
3/18/2013,4
3/19/2013,9
3/20/2013,11
3/21/2013,6
3/22/2013,10
3/23/2013,3
3/24/2013,3
3/25/2013,2
3/26/2013,8
3/27/2013,7
3/28/2013,4
3/29/2013,25
3/30/2013,7
3/31/2013,7
4/1/2013,0
4/2/2013,3
4/3/2013,3
4/4/2013,9
4/5/2013,4
4/6/2013,3
4/7/2013,9
4/8/2013,10
4/9/2013,16
4/10/2013,11
4/11/2013,2
4/12/2013,19
4/13/2013,2
4/14/2013,2
4/15/2013,2
4/16/2013,4
4/17/2013,5
4/18/2013,8
4/19/2013,9
4/20/2013,7
4/21/2013,2
4/22/2013,2
4/23/2013,5
4/24/2013,5
4/25/2013,1
4/26/2013,6
4/27/2013,5
4/28/2013,1
4/29/2013,8
4/30/2013,5
5/1/2013,6
5/2/2013,6
5/3/2013,14
5/4/2013,0
5/5/2013,0
5/6/2013,0
5/7/2013,3
5/8/2013,8
5/9/2013,4
5/10/2013,2
5/11/2013,4
5/12/2013,1
5/13/2013,4
5/14/2013,9
5/15/2013,11
5/16/2013,12
5/17/2013,2
5/18/2013,11
